t,Euler,Exact,Error
0.0,1.0,1.0,0.0
0.25,1.0,0.997559,0.002441
0.5,0.992228,0.981769,0.010459
0.75,0.963567,0.942847,0.02072
1.0,0.905597,0.874826,0.030771
1.25,0.814274,0.775406,0.038868
1.5,0.689536,0.645681,0.043855
1.75,0.534836,0.489757,0.045079
2.0,0.356566,0.314243,0.042323
2.25,0.163387,0.127649,0.035738
2.5,-0.034503,-0.060293,0.02579
2.75,-0.226163,-0.239357,0.013194
3.0,-0.400698,-0.399543,0.001155
3.25,-0.548022,-0.531775,0.016246
3.5,-0.659549,-0.628521,0.031027
3.75,-0.728776,-0.684301,0.044474
4.0,-0.751722,-0.696065,0.055656
4.25,-0.727202,-0.663406,0.063796
4.5,-0.656923,-0.588608,0.068315
4.75,-0.545392,-0.476519,0.068872
5.0,-0.399643,-0.334262,0.065381
